productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
87413,Mew EX (Full Art),Mew EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87413_200w.jpg,3,1465,https://cpt.tcgcsv.com/h-J,2025-09-26T20:07:02.867,1,RC24/RC25,Ultra Rare,120,Basic,[P] Replace - Move as many Energy attached to your Pokemon to your other Pokemon in any way you like.,Px2,1,115.0,201.82,4320.99,202.88,119.98,Holofoil,Versatile - This Pokemon can use the attacks of any Pokemon in play (both yours and your opponent's).  (You still need the necessary Energy to use each attack.)  (Ability),,
87479,Minccino,Minccino,https://tcgplayer-cdn.tcgplayer.com/product/87479_200w.jpg,3,1465,https://cpt.tcgcsv.com/C_J,2023-08-26T16:03:12.76,1,RC18/RC25,Common,60,Basic,[1] Tail Slap (10x) Flip 2 coins.  This attack does 10 damage times the number of heads.,Fx2,1,5.0,8.95,15.0,7.12,7.19,Holofoil,,,
88105,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88105_200w.jpg,3,1465,https://cpt.tcgcsv.com/7gK,2023-04-11T08:43:39.53,1,RC7/RC25,Uncommon,60,Basic,"[L] Thundershock (10) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,1,29.0,45.0,199.95,38.45,20.97,Holofoil,,[2] Tail Whap (20),
88154,Piplup,Piplup,https://tcgplayer-cdn.tcgplayer.com/product/88154_200w.jpg,3,1465,https://cpt.tcgcsv.com/6hK,2024-08-12T19:56:07.267,1,RC6/RC25,Uncommon,60,Basic,"[1] Charm - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).",Lx2,1,2.99,7.53,30.0,8.18,,Holofoil,,[1W] Peck (20),
88462,Purrloin,Purrloin,https://tcgplayer-cdn.tcgplayer.com/product/88462_200w.jpg,3,1465,https://cpt.tcgcsv.com/gpK,2024-08-12T19:56:07.407,1,RC13/RC25,Uncommon,50,Basic,"[D] Captivate - Flip a coin.  If heads, switch 1 of your opponent's Benched Pokemon with the Defending Pokemon.",Fx2,1,1.5,3.75,15.0,4.58,1.93,Holofoil,,,P-20
88567,Ralts,Ralts,https://tcgplayer-cdn.tcgplayer.com/product/88567_200w.jpg,3,1465,https://cpt.tcgcsv.com/mrK,2025-05-10T03:35:44.277,1,RC8/RC25,Common,40,Basic,[P] Hypnotic Gaze - The Defending Pokemon is now Asleep.,Px2,1,4.1,5.95,50.0,6.84,5.95,Holofoil,,[1P] Pound (20),
88712,Reshiram (Full Art),Reshiram Full Art,https://tcgplayer-cdn.tcgplayer.com/product/88712_200w.jpg,3,1465,https://cpt.tcgcsv.com/gvK,2025-06-24T20:21:56.573,1,RC22/RC25,Ultra Rare,130,Basic,[2] Outrage (20+) Does 10 more damage for each damage counter on this Pokemon.,Wx2,2,68.88,103.87,199.99,118.46,70.0,Holofoil,,[1RR] Blue Flare (120) Discard 2 R Energy attached to this Pokemon.,
89075,Serperior,Serperior,https://tcgplayer-cdn.tcgplayer.com/product/89075_200w.jpg,3,1465,https://cpt.tcgcsv.com/wFK,2024-08-12T19:56:07.54,1,RC3/RC25,Uncommon,140,Stage 2,[2G] Solar Beam (80),Rx2,2,1.2,3.1,12.0,3.39,1.65,Holofoil,"Royal Garden - If this Pokemon has any G Energy attached to it, this Pokemon has no Retreat Cost.  (Ability)",,
89080,Servine,Servine,https://tcgplayer-cdn.tcgplayer.com/product/89080_200w.jpg,3,1465,https://cpt.tcgcsv.com/DFK,2023-10-08T09:29:41.73,1,RC2/RC25,Common,80,Stage 1,"[1] Leaf Blade (10+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,1,0.32,1.49,6.0,1.5,1.49,Holofoil,,[2G] Vine Whip (40),
89113,Shaymin EX (Full Art),Shaymin EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/89113_200w.jpg,3,1465,https://cpt.tcgcsv.com/hGK,2023-01-06T21:20:22.617,1,RC21/RC25,Ultra Rare,110,Basic,[G] Synthesis - Search your deck for a G Energy card and attach it to 1 of your Pokemon.  Shuffle your deck afterward.,Rx2,1,23.24,38.99,125.0,40.2,,Holofoil,,[1G] Revenge Blast (30+) Does 30 more damage for each Prize card your opponent has taken.,F-20
89382,Snivy,Snivy,https://tcgplayer-cdn.tcgplayer.com/product/89382_200w.jpg,3,1465,https://cpt.tcgcsv.com/GMK,2024-08-12T19:56:07.697,1,RC1/RC25,Common,50,Basic,[1] Growth - Attach a G Energy card from your hand to this Pokemon.,Rx2,1,0.6,1.56,6.0,1.66,1.95,Holofoil,,[2G] Razor Leaf (30),
89583,Stunfisk,Stunfisk,https://tcgplayer-cdn.tcgplayer.com/product/89583_200w.jpg,3,1465,https://cpt.tcgcsv.com/HRK,2024-08-12T19:56:07.773,1,RC12/RC25,Uncommon,90,Basic,"[F] Attract - If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Wx2,3,0.73,2.25,6.3,2.56,2.95,Holofoil,,[1FF] Mud-Slap (70),L-20
89862,Teddiursa,Teddiursa,https://tcgplayer-cdn.tcgplayer.com/product/89862_200w.jpg,3,1465,https://cpt.tcgcsv.com/gZK,2024-08-12T19:56:07.843,1,RC15/RC25,Common,60,Basic,[1] Honey Snack - Heal 20 damage from this Pokemon.,Fx2,3,1.26,3.69,19.99,3.44,,Holofoil,,[2] Scratch (20),
89964,Torchic,Torchic,https://tcgplayer-cdn.tcgplayer.com/product/89964_200w.jpg,3,1465,https://cpt.tcgcsv.com/j_K,2023-08-01T10:05:59.917,1,RC5/RC25,Common,60,Basic,[R] Peck (10),Wx2,1,1.99,3.98,10.0,4.14,,Holofoil,,[1R] Live Coal (20),
90257,Ursaring,Ursaring,https://tcgplayer-cdn.tcgplayer.com/product/90257_200w.jpg,3,1465,https://cpt.tcgcsv.com/97L,2023-10-21T19:59:12.053,1,RC16/RC25,Common,130,Stage 1,"[2] Picnic Weather - Put a Teddiursa from your discard pile onto your Bench.  Then, attach an Energy card from your discard pile to that Pokemon.",Fx2,3,1.0,3.84,10.0,3.9,,Holofoil,,[4] Fury Swipes (50x) Flip 3 coins.  This attack does 50 damage times the number of heads.,
