productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
84358,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84358_200w.jpg,3,1402,https://cpt.tcgcsv.com/bMH,2023-11-28T17:56:53.477,1,60/123,Common,Colorless,50,Basic,"[1] Minimize - During your opponent's next turn, any damage done to Clefairy by attacks is reduced by 20 (after applying Weakness and Resistance).",0.18,0.38,1.28,0.36,,Normal,[1] Slap (10),Fx2,,1,
84358,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84358_200w.jpg,3,1402,https://cpt.tcgcsv.com/bMH,2023-11-28T17:56:53.477,1,60/123,Common,Colorless,50,Basic,"[1] Minimize - During your opponent's next turn, any damage done to Clefairy by attacks is reduced by 20 (after applying Weakness and Resistance).",2.19,4.02,9.79,3.01,,Reverse Holofoil,[1] Slap (10),Fx2,,1,
84367,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84367_200w.jpg,3,1402,https://cpt.tcgcsv.com/mMH,2024-02-08T15:16:30.913,1,17/123,Rare,Colorless,30,Basic,"[0] Eeeeeeek - Shuffle your hand into your deck, then draw 6 cards.  Cleffa is now Asleep.",2.5,4.24,9.16,3.53,4.6,Normal,,,,0,"Sweet Sleeping Face - As long as Cleffa is Asleep, prevent all damage done to Cleffa by attacks.  (Poke-BODY)"
84367,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84367_200w.jpg,3,1402,https://cpt.tcgcsv.com/mMH,2024-02-08T15:16:30.913,1,17/123,Rare,Colorless,30,Basic,"[0] Eeeeeeek - Shuffle your hand into your deck, then draw 6 cards.  Cleffa is now Asleep.",2.75,3.36,6.81,5.33,,Reverse Holofoil,,,,0,"Sweet Sleeping Face - As long as Cleffa is Asleep, prevent all damage done to Cleffa by attacks.  (Poke-BODY)"
84426,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84426_200w.jpg,3,1402,https://cpt.tcgcsv.com/xNH,2023-11-28T20:00:48.43,1,90/123,Uncommon,Supporter,0,Supporter,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of cards in your opponent's hand.",0.24,0.49,1.99,0.47,0.34,Normal,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
84426,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84426_200w.jpg,3,1402,https://cpt.tcgcsv.com/xNH,2023-11-28T20:00:48.43,1,90/123,Uncommon,Supporter,0,Supporter,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of cards in your opponent's hand.",0.71,3.86,7.99,3.95,,Reverse Holofoil,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
84443,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84443_200w.jpg,3,1402,https://cpt.tcgcsv.com/TNH,2023-11-28T17:52:56.823,1,37/123,Uncommon,Water,60,Basic,[W] Recover - Discard a W Energy attached to Corsola and remove all damage counters from Corsola.,0.14,0.46,1.0,0.54,,Normal,"[1W] Hyper Cannon (20+) Flip 2 coins.  If both of them are heads, this attack does 20 damage plus 50 more damage.",Gx2,,1,
84443,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84443_200w.jpg,3,1402,https://cpt.tcgcsv.com/TNH,2023-11-28T17:52:56.823,1,37/123,Uncommon,Water,60,Basic,[W] Recover - Discard a W Energy attached to Corsola and remove all damage counters from Corsola.,1.49,2.39,3.86,2.12,,Reverse Holofoil,"[1W] Hyper Cannon (20+) Flip 2 coins.  If both of them are heads, this attack does 20 damage plus 50 more damage.",Gx2,,1,
84500,Croconaw,Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84500_200w.jpg,3,1402,https://cpt.tcgcsv.com/0QH,2023-11-28T17:53:02.623,1,38/123,Uncommon,Water,80,Stage 1,[1W] Wave Splash (30),0.26,0.99,4.04,1.27,,Normal,[2W] Big Bite (50) The Defending Pokemon can't retreat during your opponent's next turn.,Gx2,,2,
84500,Croconaw,Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84500_200w.jpg,3,1402,https://cpt.tcgcsv.com/0QH,2023-11-28T17:53:02.623,1,38/123,Uncommon,Water,80,Stage 1,[1W] Wave Splash (30),0.7,2.92,9.14,1.83,,Reverse Holofoil,[2W] Big Bite (50) The Defending Pokemon can't retreat during your opponent's next turn.,Gx2,,2,
84552,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84552_200w.jpg,3,1402,https://cpt.tcgcsv.com/3RH,2023-11-28T17:56:59.137,1,61/123,Common,Fire,60,Basic,[R] Beat (10),0.16,0.99,5.0,1.15,0.89,Normal,[1R] Flare (20),Wx2,,1,
84552,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84552_200w.jpg,3,1402,https://cpt.tcgcsv.com/3RH,2023-11-28T17:56:59.137,1,61/123,Common,Fire,60,Basic,[R] Beat (10),9.99,17.0,21.0,14.5,,Reverse Holofoil,[1R] Flare (20),Wx2,,1,
84677,Darkness Energy (Basic),Darkness Energy Basic,https://tcgplayer-cdn.tcgplayer.com/product/84677_200w.jpg,3,1402,https://cpt.tcgcsv.com/zTH,2023-11-29T16:22:11.507,1,121/123,Common,Energy,0,Energy,,31.87,56.71,75.26,50.69,56.71,Normal,,,,,
84750,Delibird,Delibird,https://tcgplayer-cdn.tcgplayer.com/product/84750_200w.jpg,3,1402,https://cpt.tcgcsv.com/0WH,2023-11-28T17:53:09.193,1,39/123,Uncommon,Water,70,Basic,[W] Snowy Present - Draw a card for each W Energy attached to all of your Pokemon.,0.35,0.78,2.49,1.0,,Normal,[1W] Hail - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Mx2,F-20,1,
84750,Delibird,Delibird,https://tcgplayer-cdn.tcgplayer.com/product/84750_200w.jpg,3,1402,https://cpt.tcgcsv.com/0WH,2023-11-28T17:53:09.193,1,39/123,Uncommon,Water,70,Basic,[W] Snowy Present - Draw a card for each W Energy attached to all of your Pokemon.,0.54,1.5,3.95,3.82,,Reverse Holofoil,[1W] Hail - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),Mx2,F-20,1,
84877,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84877_200w.jpg,3,1402,https://cpt.tcgcsv.com/zZH,2023-11-28T17:53:18.327,1,40/123,Uncommon,Fighting,100,Stage 1,[2F] Rock Hurl (50) This attack's damage isn't affected by Resistance.,0.14,0.41,3.49,0.41,,Normal,[2FF] Double Spin (70x) Flip 2 coins.  This attack does 70 damage times the number of heads.,Wx2,L-20,3,
84877,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84877_200w.jpg,3,1402,https://cpt.tcgcsv.com/zZH,2023-11-28T17:53:18.327,1,40/123,Uncommon,Fighting,100,Stage 1,[2F] Rock Hurl (50) This attack's damage isn't affected by Resistance.,0.94,1.4,6.23,1.31,,Reverse Holofoil,[2FF] Double Spin (70x) Flip 2 coins.  This attack does 70 damage times the number of heads.,Wx2,L-20,3,
84878,Donphan (Prime),Donphan Prime,https://tcgplayer-cdn.tcgplayer.com/product/84878_200w.jpg,3,1402,https://cpt.tcgcsv.com/BZH,2023-11-29T16:26:28.783,1,107/123,Ultra Rare,Fighting,120,Stage 1,[F] Earthquake (60) Does 10 damage to each of your Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),15.99,16.1,25.0,15.88,,Holofoil,[FFF] Heavy Impact (90),Wx2,L-20,4,Exoskeleton - Any damage done to Donphan by attacks is reduced by 20 (after applying Weakness and Resistance).  (Poke-BODY)
84883,Double Colorless Energy,Double Colorless Energy,https://tcgplayer-cdn.tcgplayer.com/product/84883_200w.jpg,3,1402,https://cpt.tcgcsv.com/HZH,2023-11-28T20:32:56.187,1,103/123,Uncommon,Energy,0,Special Energy,Double Colorless Energy provides 2 Energy.,2.0,5.27,44.0,5.27,,Normal,,,,,
84883,Double Colorless Energy,Double Colorless Energy,https://tcgplayer-cdn.tcgplayer.com/product/84883_200w.jpg,3,1402,https://cpt.tcgcsv.com/HZH,2023-11-28T20:32:56.187,1,103/123,Uncommon,Energy,0,Special Energy,Double Colorless Energy provides 2 Energy.,10.89,20.24,33.0,23.59,,Reverse Holofoil,,,,,
84977,Drowzee,Drowzee,https://tcgplayer-cdn.tcgplayer.com/product/84977_200w.jpg,3,1402,https://cpt.tcgcsv.com/z_H,2024-06-27T14:49:48.94,1,62/123,Common,Psychic,60,Basic,[P] Sleep Inducer - Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.  The new Defending Pokemon is now Asleep.,0.2,0.36,1.12,0.38,0.23,Normal,[2] Gentle Slap (20),Px2,,2,
84977,Drowzee,Drowzee,https://tcgplayer-cdn.tcgplayer.com/product/84977_200w.jpg,3,1402,https://cpt.tcgcsv.com/z_H,2024-06-27T14:49:48.94,1,62/123,Common,Psychic,60,Basic,[P] Sleep Inducer - Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.  The new Defending Pokemon is now Asleep.,1.27,3.75,6.55,4.42,1.27,Reverse Holofoil,[2] Gentle Slap (20),Px2,,2,
85012,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85012_200w.jpg,3,1402,https://cpt.tcgcsv.com/g0J,2023-11-28T17:53:26.043,1,41/123,Uncommon,Colorless,50,Basic,"[1] Glare - Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",0.24,0.5,1.0,0.5,,Normal,[1] Fade Out (20) Return Dunsparce and all cards attached to it to your hand.,Fx2,,1,
85012,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85012_200w.jpg,3,1402,https://cpt.tcgcsv.com/g0J,2023-11-28T17:53:26.043,1,41/123,Uncommon,Colorless,50,Basic,"[1] Glare - Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",0.32,1.07,3.97,1.55,,Reverse Holofoil,[1] Fade Out (20) Return Dunsparce and all cards attached to it to your hand.,Fx2,,1,
85259,Energy Switch,Energy Switch,https://tcgplayer-cdn.tcgplayer.com/product/85259_200w.jpg,3,1402,https://cpt.tcgcsv.com/c7J,2023-11-28T20:00:58.613,1,91/123,Uncommon,Trainer,0,Trainer,Move a basic Energy card attached to 1 of your Pokemon to another of your Pokemon.,2.0,2.82,4.68,3.41,,Normal,,,,,
85259,Energy Switch,Energy Switch,https://tcgplayer-cdn.tcgplayer.com/product/85259_200w.jpg,3,1402,https://cpt.tcgcsv.com/c7J,2023-11-28T20:00:58.613,1,91/123,Uncommon,Trainer,0,Trainer,Move a basic Energy card attached to 1 of your Pokemon to another of your Pokemon.,13.5,32.6,59.36,39.99,,Reverse Holofoil,,,,,
85349,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85349_200w.jpg,3,1402,https://cpt.tcgcsv.com/_8J,2023-11-28T17:57:42.167,1,63/123,Common,Psychic,50,Basic,[1] Continuous Eggsplosion (10x) Flip a coin until you get tails.  This attack does 10 damage times the number of heads.,0.05,0.26,1.49,0.32,0.25,Normal,,Px2,,1,
85349,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85349_200w.jpg,3,1402,https://cpt.tcgcsv.com/_8J,2023-11-28T17:57:42.167,1,63/123,Common,Psychic,50,Basic,[1] Continuous Eggsplosion (10x) Flip a coin until you get tails.  This attack does 10 damage times the number of heads.,0.4,0.69,1.99,0.82,,Reverse Holofoil,,Px2,,1,
85362,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85362_200w.jpg,3,1402,https://cpt.tcgcsv.com/g9J,2023-11-28T17:50:32.123,1,18/123,Rare,Psychic,90,Stage 1,[1] Energy Absorption - Search your discard pile for up to 2 Energy cards and attach them to Exeggutor.,0.35,0.8,3.75,1.04,,Normal,[P] Big Eggsplosion (40x) Flip a coin for each Energy attached to Exeggutor.  This attack does 40 damage times the number of heads.,Px2,,2,
85362,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85362_200w.jpg,3,1402,https://cpt.tcgcsv.com/g9J,2023-11-28T17:50:32.123,1,18/123,Rare,Psychic,90,Stage 1,[1] Energy Absorption - Search your discard pile for up to 2 Energy cards and attach them to Exeggutor.,3.0,4.14,6.97,4.7,,Reverse Holofoil,[P] Big Eggsplosion (40x) Flip a coin for each Energy attached to Exeggutor.  This attack does 40 damage times the number of heads.,Px2,,2,
85388,Farfetch'd,Farfetchd,https://tcgplayer-cdn.tcgplayer.com/product/85388_200w.jpg,3,1402,https://cpt.tcgcsv.com/N9J,2023-11-28T17:50:37.547,1,19/123,Rare,Colorless,60,Basic,[1] Collect - Draw 2 cards.,0.98,1.49,3.5,2.24,,Normal,[1] Spin Turn (20) Switch Farfetch'd with 1 of your Benched Pokemon.,Lx2,F-20,1,
85388,Farfetch'd,Farfetchd,https://tcgplayer-cdn.tcgplayer.com/product/85388_200w.jpg,3,1402,https://cpt.tcgcsv.com/N9J,2023-11-28T17:50:37.547,1,19/123,Rare,Colorless,60,Basic,[1] Collect - Draw 2 cards.,4.31,5.99,8.3,6.46,,Reverse Holofoil,[1] Spin Turn (20) Switch Farfetch'd with 1 of your Benched Pokemon.,Lx2,F-20,1,
85419,Feraligatr,Feraligatr,https://tcgplayer-cdn.tcgplayer.com/product/85419_200w.jpg,3,1402,https://cpt.tcgcsv.com/pbJ,2023-11-28T17:50:42.893,1,20/123,Rare,Water,130,Stage 2,[2W] Spinning Tail - This attack does 20 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),1.66,2.45,3.25,3.11,,Normal,[2WW] Surf (80),Gx2,,2,
85419,Feraligatr,Feraligatr,https://tcgplayer-cdn.tcgplayer.com/product/85419_200w.jpg,3,1402,https://cpt.tcgcsv.com/pbJ,2023-11-28T17:50:42.893,1,20/123,Rare,Water,130,Stage 2,[2W] Spinning Tail - This attack does 20 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),9.98,10.7,29.99,11.23,,Reverse Holofoil,[2WW] Surf (80),Gx2,,2,
85420,Feraligatr (Prime),Feraligatr Prime,https://tcgplayer-cdn.tcgplayer.com/product/85420_200w.jpg,3,1402,https://cpt.tcgcsv.com/qbJ,2023-11-29T16:26:19.087,1,108/123,Ultra Rare,Water,140,Stage 2,[WWWW] Hydro Crunch (60+) Does 60 damage plus 10 damage for each damage counter on the Defending Pokemon.,18.0,28.87,46.5,41.2,,Holofoil,,Gx2,,3,"Rain Dance - As often as you like during your turn (before your attack), you may attach a W Energy from your hand to 1 of your W Pokemon.  This power can't be used if Feraligatr is affected by a Special Condition.  (Poke-POWER)"
85444,Fighting Energy,Fighting Energy,https://tcgplayer-cdn.tcgplayer.com/product/85444_200w.jpg,3,1402,https://cpt.tcgcsv.com/VbJ,2023-11-29T16:22:25.35,1,120/123,Common,Energy,0,Energy,,8.95,10.5,19.99,12.75,,Normal,,,,,
85464,Fire Energy,Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/85464_200w.jpg,3,1402,https://cpt.tcgcsv.com/jcJ,2023-11-29T16:22:54.807,1,116/123,Common,Energy,0,Energy,,17.5,22.76,32.6,21.45,,Normal,,,,,
85472,Fisherman,Fisherman,https://tcgplayer-cdn.tcgplayer.com/product/85472_200w.jpg,3,1402,https://cpt.tcgcsv.com/scJ,2023-11-28T20:02:01.087,1,92/123,Uncommon,Supporter,0,Supporter,"Search your discard pile for 4 basic Energy cards, show them to your opponent, and put them into your hand.",0.25,1.73,2.28,1.44,,Normal,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
85472,Fisherman,Fisherman,https://tcgplayer-cdn.tcgplayer.com/product/85472_200w.jpg,3,1402,https://cpt.tcgcsv.com/scJ,2023-11-28T20:02:01.087,1,92/123,Uncommon,Supporter,0,Supporter,"Search your discard pile for 4 basic Energy cards, show them to your opponent, and put them into your hand.",14.0,14.0,25.0,15.07,,Reverse Holofoil,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
85482,Flaaffy,Flaaffy,https://tcgplayer-cdn.tcgplayer.com/product/85482_200w.jpg,3,1402,https://cpt.tcgcsv.com/GcJ,2023-11-28T17:54:58.557,1,42/123,Uncommon,Lightning,80,Stage 1,[L] Thunder Spear - Choose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),0.05,0.5,3.44,0.51,,Normal,"[2L] Thundershock (40) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,M-20,1,
