groupId,groupName,groupCode,releaseDate,releaseYear
3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,2022-09-09,2022
3179,Trick or Trade BOOster Bundle,TTBB,2022-09-01,2022
3150,McDonald's Promos 2022,MCD22,2022-08-03,2022
3064,Pokemon GO,PGO,2022-07-01,2022
3040,SWSH10: Astral Radiance,SWSH10,2022-05-27,2022
3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,2022-05-27,2022
3051,Battle Academy 2022,BA22,2022-04-01,2022
2948,SWSH09: Brilliant Stars,SWSH09,2022-02-25,2022
3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,2022-02-25,2022
2906,SWSH08: Fusion Strike,SWSH08,2021-11-12,2021
2867,Celebrations,CLB,2021-10-08,2021
2931,Celebrations: Classic Collection,CCC,2021-10-08,2021
2848,SWSH07: Evolving Skies,SWSH07,2021-08-27,2021
2807,SWSH06: Chilling Reign,SWSH06,2021-06-18,2021
2765,SWSH05: Battle Styles,SWSH05,2021-03-19,2021
2776,First Partner Pack,FPP,2021-02-26,2021
2754,Shining Fates,SHF,2021-02-19,2021
2781,Shining Fates: Shiny Vault,SHFSV,2021-02-19,2021
2782,McDonald's 25th Anniversary Promos,MCD21,2021-02-09,2021
2701,SWSH04: Vivid Voltage,SWSH04,2020-11-13,2020
2685,Champion's Path,CHP,2020-09-25,2020
2675,SWSH03: Darkness Ablaze,SWSH03,2020-08-14,2020
2686,Battle Academy,BTA,2020-07-31,2020
2626,SWSH02: Rebel Clash,SWSH02,2020-05-01,2020
2585,SWSH01: Sword & Shield Base Set,SWSH01,2020-02-07,2020
2545,SWSH: Sword & Shield Promo Cards,SWSD,2019-11-15,2019
2534,SM - Cosmic Eclipse,SM12,2019-11-01,2019
2555,McDonald's Promos 2019,MCD19,2019-10-01,2019
2480,Hidden Fates,HIF,2019-08-23,2019
2594,Hidden Fates: Shiny Vault,HIF:SV,2019-08-23,2019
2464,SM - Unified Minds,SM11,2019-08-02,2019
2420,SM - Unbroken Bonds,SM10,2019-05-03,2019
2409,Detective Pikachu,DEP,2019-04-05,2019
2377,SM - Team Up,SM9,2019-02-01,2019
2328,SM - Lost Thunder,SM8,2018-11-02,2018
2364,McDonald's Promos 2018,MCD18,2018-11-02,2018
2374,Miscellaneous Cards & Products,MCAP,2018-11-01,2018
2295,Dragon Majesty,DRM,2018-09-07,2018
2278,SM - Celestial Storm,CES,2018-08-03,2018
2282,World Championship Decks,WCD,2018-07-01,2018
2209,SM - Forbidden Light,SM06,2018-05-04,2018
2208,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,SMK2,2018-04-06,2018
2178,SM - Ultra Prism,SM05,2018-02-02,2018
2148,McDonald's Promos 2017,MCD17,2017-11-07,2017
2071,SM - Crimson Invasion,SM04,2017-11-03,2017
2054,Shining Legends,SHL,2017-10-06,2017
1957,SM - Burning Shadows,SM03,2017-08-04,2017
1938,Alternate Art Promos,PR,2017-05-19,2017
1919,SM - Guardians Rising,SM02,2017-05-05,2017
23095,Ash vs Team Rocket Deck Kit (JP Exclusive),AVTR,2017-04-21,2017
2069,SM Trainer Kit: Lycanroc & Alolan Raichu,SMK1,2017-04-21,2017
1863,SM Base Set,SM01,2017-02-03,2017
1861,SM Promos,SMP,2016-12-14,2016
1842,XY - Evolutions,EVO,2016-11-02,2016
1840,Deck Exclusives,PR,2016-09-01,2016
3087,McDonald's Promos 2016,MCD16,2016-08-05,2016
1815,XY - Steam Siege,STS,2016-08-03,2016
1539,League & Championship Cards,PR,2016-06-01,2016
1780,XY - Fates Collide,FCO,2016-05-02,2016
1796,XY Trainer Kit: Pikachu Libre & Suicune,PR,2016-04-27,2016
1728,Generations,GEN,2016-02-22,2016
1729,Generations: Radiant Collection,GEN,2016-02-22,2016
1701,XY - BREAKpoint,BKP,2016-02-03,2016
1694,McDonald's Promos 2015,MCD15,2015-11-23,2015
1661,XY - BREAKthrough,BKT,2015-11-04,2015
1576,XY - Ancient Origins,AOR,2015-08-12,2015
1534,XY - Roaring Skies,ROS,2015-05-06,2015
1536,XY Trainer Kit: Latias & Latios,PR,2015-04-29,2015
1528,Jumbo Cards,PR,2015-04-01,2015
1525,Double Crisis,DCR,2015-03-25,2015
1509,XY - Primal Clash,PRC,2015-02-04,2015
1533,XY Trainer Kit: Bisharp & Wigglytuff,PR,2014-11-14,2014
1494,XY - Phantom Forces,PHF,2014-11-05,2014
1481,XY - Furious Fists,FFI,2014-08-13,2014
1692,McDonald's Promos 2014,MCD14,2014-05-23,2014
1464,XY - Flashfire,FLF,2014-05-07,2014
1532,XY Trainer Kit: Sylveon & Noivern,PR,2014-03-12,2014
1387,XY Base Set,XY,2014-02-05,2014
1451,XY Promos,PR,2013-12-16,2013
1522,Kalos Starter Set,KSS,2013-11-08,2013
1409,Legendary Treasures,LTR,2013-11-06,2013
1465,Legendary Treasures: Radiant Collection,LTR,2013-11-06,2013
1370,Plasma Blast,PLB,2013-08-14,2013
1382,Plasma Freeze,PLF,2013-05-08,2013
1413,Plasma Storm,PLS,2013-02-06,2013
1408,Boundaries Crossed,BCR,2012-11-07,2012
1426,Dragon Vault,DRV,2012-10-05,2012
1394,Dragons Exalted,DRX,2012-08-15,2012
1427,McDonald's Promos 2012,MCD12,2012-06-15,2012
1386,Dark Explorers,DEX,2012-05-09,2012
1412,Next Destinies,NXD,2012-02-08,2012
1385,Noble Victories,NVI,2011-11-16,2011
1538,BW Trainer Kit: Excadrill & Zoroark,BLW,2011-09-05,2011
1424,Emerging Powers,EPO,2011-08-31,2011
1401,McDonald's Promos 2011,MCD11,2011-06-17,2011
1400,Black and White,BLW,2011-04-25,2011
1407,Black and White Promos,PR,2011-04-25,2011
1415,Call of Legends,CL,2011-02-09,2011
2332,Professor Program Promos,PPP,2011-01-07,2011
1381,Triumphant,TM,2010-11-03,2010
1403,Undaunted,UD,2010-08-18,2010
2205,Pikachu World Collection Promos,PWCP,2010-07-08,2010
1540,HGSS Trainer Kit: Gyarados & Raichu,PR,2010-05-12,2010
1399,Unleashed,UL,2010-05-12,2010
1402,HeartGold SoulSilver,HS,2010-02-10,2010
1453,HGSS Promos,PR,2010-02-01,2010
1433,Rumble,RUM,2009-11-16,2009
1391,Arceus,AR,2009-11-04,2009
1384,Supreme Victors,SV,2009-08-19,2009
1367,Rising Rivals,RR,2009-05-16,2009
2175,Burger King Promos,BKP,2009-04-03,2009
1406,Platinum,PL,2009-02-11,2009
1369,Stormfront,SF,2008-11-05,2008
2155,Countdown Calendar Promos,CCP,2008-10-01,2008
1417,Legends Awakened,LA,2008-08-20,2008
1390,Majestic Dawn,MD,2008-05-21,2008
1405,Great Encounters,GE,2008-02-13,2008
1380,Secret Wonders,SW,2007-11-07,2007
609,DP Training Kit 1 Blue,PR,2007-09-24,2007
610,DP Training Kit 1 Gold,PR,2007-09-24,2007
1541,DP Trainer Kit: Manaphy & Lucario,PR,2007-09-03,2007
1368,Mysterious Treasures,MT,2007-08-22,2007
1430,Diamond and Pearl,DP,2007-05-23,2007
1421,Diamond and Pearl Promos,PR,2007-05-01,2007
1383,Power Keepers,PK,2007-02-01,2007
1411,Dragon Frontiers,DF,2006-11-08,2006
1395,Crystal Guardians,CG,2006-08-30,2006
1379,Holon Phantoms,HP,2006-05-03,2006
1378,Legend Maker,LM,2006-02-13,2006
1429,Delta Species,DS,2005-10-31,2005
1398,Unseen Forces,UF,2005-08-22,2005
1410,Emerald,EM,2005-05-09,2005
1404,Deoxys,DX,2005-02-14,2005
1428,Team Rocket Returns,RR,2004-11-01,2004
1853,EX Battle Stadium,BST,2004-10-18,2004
1419,FireRed & LeafGreen,RG,2004-08-30,2004
2214,Kids WB Promos,KWBP,2004-07-02,2004
1416,Hidden Legends,HL,2004-06-14,2004
1377,Team Magma vs Team Aqua,MA,2004-03-15,2004
1376,Dragon,DR,2003-11-24,2003
1392,Sandstorm,SS,2003-09-18,2003
1393,Ruby and Sapphire,RS,2003-06-18,2003
1372,Skyridge,SK,2003-05-12,2003
1397,Aquapolis,AQ,2003-01-15,2003
1455,Best of Promos,PR,2002-12-01,2002
1375,Expedition,EX,2002-09-15,2002
24493,e-Reader Sample Cards,SAMPLE,2002-08-02,2002
1374,Legendary Collection,LC,2002-05-24,2002
1444,Neo Destiny,N4,2002-02-28,2002
1389,Neo Revelation,N3,2001-09-21,2001
648,Southern Islands,SI,2001-07-31,2001
1434,Neo Discovery,N2,2001-06-01,2001
1396,Neo Genesis,N1,2000-12-16,2000
1440,Gym Challenge,G2,2000-10-16,2000
1441,Gym Heroes,G1,2000-10-14,2000
1373,Team Rocket,TR,2000-04-24,2000
605,Base Set 2,BS2,2000-02-24,2000
630,Fossil,FO,1999-10-10,1999
1418,WoTC Promo,PR,1999-07-01,1999
635,Jungle,JU,1999-06-16,1999
604,Base Set,BS,1999-01-09,1999
1663,Base Set (Shadowless),BSS,1999-01-09,1999
2289,Blister Exclusives,BLE,1998-02-27,1998
1543,EX Trainer Kit 1: Latias & Latios,PR,2025-10-14,2025
1542,EX Trainer Kit 2: Plusle & Minun,PR,2025-10-14,2025
1423,Nintendo Promos,PR,2025-10-14,2025
1422,POP Series 1,POP,2025-10-14,2025
1447,POP Series 2,POP,2025-10-14,2025
1442,POP Series 3,POP,2025-10-14,2025
1452,POP Series 4,POP,2025-10-14,2025
1439,POP Series 5,POP,2025-10-14,2025
1432,POP Series 6,POP,2025-10-14,2025
1414,POP Series 7,POP,2025-10-14,2025
1450,POP Series 8,POP,2025-10-14,2025
1446,POP Series 9,POP,2025-10-14,2025
