cleanName,groupId,groupName,productId,subTypeName,extCardType,extNumber,extRarity,releaseDate,releaseYear,marketPrice
Gliscor 4 90 Cracked Ice Holo,2289,Blister Exclusives,234310,Holofoil,Fighting,004/090,Promo,1998-02-27,1998,13.15
Gogoat 19 146 Cosmos Holo,2289,Blister Exclusives,257485,Holofoil,Grass,019/146,Promo,1998-02-27,1998,0.96
Golisopod 51 236 Cosmos Holo,2289,Blister Exclusives,216741,Holofoil,Water,051/236,Promo,1998-02-27,1998,0.67
Goodra 77 119 Cosmos Holo,2289,Blister Exclusives,173114,Holofoil,Dragon,077/119,Promo,1998-02-27,1998,2.94
Greninja 41 146 Cosmos Holo,2289,Blister Exclusives,141248,Holofoil,Water,041/146,Promo,1998-02-27,1998,5.46
Grookey 010 202 Cosmos Holo,2289,Blister Exclusives,212994,Holofoil,Grass,010/202,Promo,1998-02-27,1998,0.39
Gyarados 24 124 Cosmos Holo,2289,Blister Exclusives,180722,Holofoil,Water,024/124,Promo,1998-02-27,1998,9.3
Gyarados 33 147 Cosmos Holo,2289,Blister Exclusives,250573,Holofoil,Water,033/147,Promo,1998-02-27,1998,13.56
Hawlucha 63 111 Cosmos Holo,2289,Blister Exclusives,141251,Holofoil,Fighting,063/111,Promo,1998-02-27,1998,1.12
Haxorus 16 20 Dragon Vault,2289,Blister Exclusives,145867,Holofoil,Dragon,016/020,Promo,1998-02-27,1998,12.05
Haxorus 69 101 Cosmos Holo,2289,Blister Exclusives,141252,Holofoil,Dragon,069/101,Promo,1998-02-27,1998,1.92
Hisuian Arcanine 100 167 Cosmos Holo,2289,Blister Exclusives,616142,Holofoil,Fighting,100/167,Rare,1998-02-27,1998,1.77
Houndstone 042 Cosmos Holo,2289,Blister Exclusives,535897,Holofoil,Psychic,042,Promo,1998-02-27,1998,0.31
Hydreigon 074 119 Cosmos Holo,2289,Blister Exclusives,173113,Holofoil,Dragon,074/119,Promo,1998-02-27,1998,1.13
Hydreigon 98 124 Cosmos Holo,2289,Blister Exclusives,227089,Holofoil,Dragon,098/124,Promo,1998-02-27,1998,1.22
Hydreigon Cosmos Holo,2289,Blister Exclusives,556978,Holofoil,Dark,140/193,Rare,1998-02-27,1998,13.57
Klang 75 114 Cracked Ice Holo,2289,Blister Exclusives,213005,Reverse Holofoil,Metal,075/114,Promo,1998-02-27,1998,1.56
Klink 74 114 Cracked Ice Holo,2289,Blister Exclusives,146704,Holofoil,Metal,074/114,Promo,1998-02-27,1998,0.93
Klinklang 76 114 Cracked Ice Holo,2289,Blister Exclusives,213006,Reverse Holofoil,Metal,076/114,Promo,1998-02-27,1998,1.92
Krookodile 65 114 Cracked Ice Holo,2289,Blister Exclusives,247288,Holofoil,Fighting,065/114,Promo,1998-02-27,1998,1.46
Krookodile 66 108 Cosmos Holo,2289,Blister Exclusives,220179,Holofoil,Darkness,066/108,Promo,1998-02-27,1998,6.04
Landorus 148 264 Cosmos Holo,2289,Blister Exclusives,266914,Holofoil,Fighting,148/264,Promo,1998-02-27,1998,0.3
Latias 9 20 Dragon Vault,2289,Blister Exclusives,145864,Holofoil,Dragon,009/020,Promo,1998-02-27,1998,15.2
Latios 10 20 Dragon Vault,2289,Blister Exclusives,145865,Holofoil,Dragon,010/020,Promo,1998-02-27,1998,18.51
Lucario 64 99 Cosmos Holo,2289,Blister Exclusives,220120,Holofoil,Fighting,064/099,Promo,1998-02-27,1998,12.04
Luxray 46 99 Cosmos Holo,2289,Blister Exclusives,220184,Holofoil,Lightning,046/099,Promo,1998-02-27,1998,1.9
Luxray 46 99 Cracked Ice Holo,2289,Blister Exclusives,220183,Holofoil,Lightning,046/099,Promo,1998-02-27,1998,10.47
Machamp 46 111 Cosmos Holo,2289,Blister Exclusives,141253,Holofoil,Fighting,046/111,Promo,1998-02-27,1998,1.64
Machamp 49 101 Cosmos Holo,2289,Blister Exclusives,256834,Holofoil,Fighting,049/101,Promo,1998-02-27,1998,4.46
Machamp 65 145 Cosmos Holo,2289,Blister Exclusives,238635,Holofoil,Fighting,065/145,Promo,1998-02-27,1998,0.48
Meganium 3 122 Cosmos Holo,2289,Blister Exclusives,141254,Holofoil,Grass,003/122,Promo,1998-02-27,1998,3.22
Melmetal 129 214 Cosmos Holo,2289,Blister Exclusives,264434,Holofoil,Metal,129/214,Promo,1998-02-27,1998,0.95
Metagross 7 147 Cracked Ice Holo,2289,Blister Exclusives,153240,Holofoil,Metal,007/147,Promo,1998-02-27,1998,3.88
Milotic 28 124 Cosmos Holo,2289,Blister Exclusives,244725,Holofoil,Water,028/124,Promo,1998-02-27,1998,2.76
Moltres 14 99 Next Destinies,2289,Blister Exclusives,147238,Holofoil,Fire,014/099,Promo,1998-02-27,1998,4.24
Ninetales 7 123 Cracked Ice,2289,Blister Exclusives,264837,Holofoil,Fire,007/123,Promo,1998-02-27,1998,33.73
Noivern 77 111 Cosmos Holo,2289,Blister Exclusives,179081,Holofoil,Dragon,077/111,Promo,1998-02-27,1998,1.5
Persian 81 99 Cosmos Holo,2289,Blister Exclusives,237574,Holofoil,Colorless,081/099,Promo,1998-02-27,1998,3.03
Pyroar 12 119 Cosmos Holo,2289,Blister Exclusives,153309,Holofoil,Fire,012/119,Promo,1998-02-27,1998,1.26
Raichu 40 99 Cosmos Holo,2289,Blister Exclusives,220118,Holofoil,Lightning,040/099,Promo,1998-02-27,1998,48.92
Raichu 41 147 Cosmos Holo,2289,Blister Exclusives,250572,Holofoil,Lightning,041/147,Promo,1998-02-27,1998,3.63
Raichu 43 146 Cosmos Holo,2289,Blister Exclusives,212045,Holofoil,Lightning,043/146,Promo,1998-02-27,1998,3.18
Raikou 55 162 Cosmos Holo,2289,Blister Exclusives,173108,Holofoil,Lightning,055/162,Promo,1998-02-27,1998,3.73
Rayquaza 11 20 Dragon Vault,2289,Blister Exclusives,145866,Holofoil,Dragon,011/020,Promo,1998-02-27,1998,37.47
Rhyperior 62 146 Cosmos Holo,2289,Blister Exclusives,173115,Holofoil,Fighting,062/146,Promo,1998-02-27,1998,1.73
Roggenrola 49 98 Cracked Ice Holo,2289,Blister Exclusives,173092,Holofoil,Fighting,049/098,Promo,1998-02-27,1998,7.33
Salamence 57 108 Cosmos Holo,2289,Blister Exclusives,224858,Holofoil,Dragon,057/108,Promo,1998-02-27,1998,7.3
Salamence 8 20 Cosmos Holo,2289,Blister Exclusives,227090,Holofoil,Dragon,008/020,Promo,1998-02-27,1998,7.5
Samurott 41 149 Cosmos Holo,2289,Blister Exclusives,227086,Holofoil,Water,041/149,Promo,1998-02-27,1998,5.65
Scizor 94 149 Cosmos Holo,2289,Blister Exclusives,227093,Holofoil,Metal,094/149,Promo,1998-02-27,1998,13.16
Scolipede 54 114 Cracked Ice Holo,2289,Blister Exclusives,532125,,Psychic,54/114,Holo Rare,1998-02-27,1998,
Scorbunny 030 202 Cosmos Holo,2289,Blister Exclusives,212995,Holofoil,Fire,030/202,Promo,1998-02-27,1998,0.35
Serperior 13 149 Cosmos Holo,2289,Blister Exclusives,227087,Holofoil,Grass,013/149,Promo,1998-02-27,1998,6.72
Sharpedo 82 149 Cosmos Holo,2289,Blister Exclusives,173105,Holofoil,Darkness,082/149,Promo,1998-02-27,1998,0.92
Shinx 43 99 Cracked Ice Holo,2289,Blister Exclusives,234309,Holofoil,Lightning,043/099,Promo,1998-02-27,1998,7.41
Sigilyph 52 124 Cosmos Holo,2289,Blister Exclusives,234366,Holofoil,Psychic,052/124,Promo,1998-02-27,1998,0.92
Silvally 184 236 Cosmos Holo,2289,Blister Exclusives,216742,Holofoil,Colorless,184/236,Promo,1998-02-27,1998,0.91
Sinistcha 022 167 Cosmos Holo,2289,Blister Exclusives,616155,Holofoil,Grass,022/167,Rare,1998-02-27,1998,0.38
Snorlax 140 202 Cosmos Holo,2289,Blister Exclusives,245145,Holofoil,Colorless,140/202,Promo,1998-02-27,1998,1.0
Sobble 54 202 Cosmos Holo,2289,Blister Exclusives,212996,Holofoil,Water,054/202,Promo,1998-02-27,1998,0.42
Squirtle 33 214 Premium Collection Promo,2289,Blister Exclusives,193275,Holofoil,Water,033/214,Promo,1998-02-27,1998,2.63
Steelix 125 214 Cosmos Holo,2289,Blister Exclusives,245918,Holofoil,Metal,125/214,Promo,1998-02-27,1998,2.44
Suicune 30 122 Cosmos Holo,2289,Blister Exclusives,173107,Holofoil,Water,030/122,Promo,1998-02-27,1998,4.89
Talonflame 28 146 Cosmos Holo,2289,Blister Exclusives,173116,Holofoil,Fire,028/146,Promo,1998-02-27,1998,1.29
Terrakion 73 101 Cosmos Holo,2289,Blister Exclusives,220124,Holofoil,Fighting,073/101,Promo,1998-02-27,1998,2.11
Thundurus 052 198 Cosmos Holo,2289,Blister Exclusives,266913,Holofoil,Lightning,052/198,Promo,1998-02-27,1998,0.31
Tinkaton 105 193 Cosmos Holo,2289,Blister Exclusives,610743,Holofoil,Psychic,105/193,Rare,1998-02-27,1998,8.06
Togekiss 085 197 Cosmos Holo,2289,Blister Exclusives,552783,Holofoil,Psychic,085/197,Promo,1998-02-27,1998,4.52
Tornadus 142 185 Cosmos Holo,2289,Blister Exclusives,266915,Holofoil,Colorless,142/185,Promo,1998-02-27,1998,0.34
Typhlosion 20 162 Cosmos Holo,2289,Blister Exclusives,141255,Holofoil,Fire,020/162,Promo,1998-02-27,1998,3.32
Umbreon 120 214 Cosmos Holo,2289,Blister Exclusives,229578,Holofoil,Darkness,120/214,Promo,1998-02-27,1998,25.35
Venusaur 3 108 Cosmos Holo,2289,Blister Exclusives,227088,Holofoil,Grass,003/108,Promo,1998-02-27,1998,11.43
Virizion 13 101 Cosmos Holo,2289,Blister Exclusives,220180,Holofoil,Grass,013/101,Promo,1998-02-27,1998,2.24
Vivillon 17 146 Cosmos Holo,2289,Blister Exclusives,257484,Holofoil,Grass,017/146,Promo,1998-02-27,1998,2.27
Wailord 40 168 Cosmos Holo,2289,Blister Exclusives,267016,Holofoil,Water,040/168,Promo,1998-02-27,1998,3.9
Wigglytuff 79 99 Cosmos Holo,2289,Blister Exclusives,91400,Holofoil,Colorless,079/099,Promo,1998-02-27,1998,2.91
Xatu 11 95 Cracked Ice Holo,2289,Blister Exclusives,565598,Holofoil,Psychic,11/95,Holo Rare,1998-02-27,1998,19.25
Xerneas 107 162 Cosmos Holo,2289,Blister Exclusives,173109,Holofoil,Fairy,107/162,Promo,1998-02-27,1998,2.44
Yveltal 94 162 Cosmos Holo,2289,Blister Exclusives,141256,Holofoil,Darkness,094/162,Promo,1998-02-27,1998,1.61
Zapdos 41 99 Next Destinies,2289,Blister Exclusives,147239,Holofoil,Lightning,041/099,Promo,1998-02-27,1998,2.04
Zoroark 71 114 Cracked Ice Holo,2289,Blister Exclusives,153069,Holofoil,Darkness,071/114,Promo,1998-02-27,1998,6.29
Zoroark 73 146 Cosmos Holo,2289,Blister Exclusives,153310,Holofoil,Darkness,073/146,Promo,1998-02-27,1998,1.53
Zoroark 90 113 Cosmos Holo,2289,Blister Exclusives,177866,Holofoil,Darkness,090/113,Promo,1998-02-27,1998,2.83
Abra,604,Base Set,42386,Normal,Psychic,043/102,Common,1999-01-09,1999,0.54
Alakazam,604,Base Set,42346,Holofoil,Psychic,001/102,Holo Rare,1999-01-09,1999,55.21
Alakazam,604,Base Set,42346,1st Edition Holofoil,Psychic,001/102,Holo Rare,1999-01-09,1999,
Arcanine,604,Base Set,42364,Normal,Fire,023/102,Uncommon,1999-01-09,1999,2.81
Beedrill,604,Base Set,42357,Normal,Grass,017/102,Rare,1999-01-09,1999,3.8
Bill,604,Base Set,42435,Normal,Trainer,091/102,Common,1999-01-09,1999,0.33
Blastoise,604,Base Set,42360,Holofoil,Water,002/102,Holo Rare,1999-01-09,1999,157.93
Bulbasaur,604,Base Set,42387,Normal,Grass,044/102,Common,1999-01-09,1999,1.84
Caterpie,604,Base Set,42388,Normal,Grass,045/102,Common,1999-01-09,1999,0.95
Chansey,604,Base Set,42371,Holofoil,Colorless,003/102,Holo Rare,1999-01-09,1999,29.34
Charizard,604,Base Set,42382,Holofoil,Fire,004/102,Holo Rare,1999-01-09,1999,457.99
Charizard Black Dot Error,604,Base Set,657516,,Fire,004/102,Holo Rare,1999-01-09,1999,
Charmander,604,Base Set,42389,Normal,Fire,046/102,Common,1999-01-09,1999,1.56
Charmeleon,604,Base Set,42365,Normal,Fire,024/102,Uncommon,1999-01-09,1999,1.71
Clefairy,604,Base Set,42393,Holofoil,Colorless,005/102,Holo Rare,1999-01-09,1999,26.02
Clefairy Doll,604,Base Set,42416,Normal,Trainer,070/102,Rare,1999-01-09,1999,5.4
Computer Search,604,Base Set,42417,Normal,Trainer,071/102,Rare,1999-01-09,1999,2.72
Defender,604,Base Set,42426,Normal,Trainer,080/102,Uncommon,1999-01-09,1999,1.33
Devolution Spray,604,Base Set,42418,Normal,Trainer,072/102,Rare,1999-01-09,1999,4.48
Dewgong,604,Base Set,42366,Normal,Water,025/102,Uncommon,1999-01-09,1999,2.21
Diglett,604,Base Set,42390,Normal,Fighting,047/102,Common,1999-01-09,1999,0.43
Doduo,604,Base Set,42391,Normal,Colorless,048/102,Common,1999-01-09,1999,1.1
Double Colorless Energy,604,Base Set,42440,Normal,Special Energy,096/102,Uncommon,1999-01-09,1999,5.71
Dragonair,604,Base Set,42358,Normal,Colorless,018/102,Rare,1999-01-09,1999,14.5
Dratini,604,Base Set,42367,Normal,Colorless,026/102,Uncommon,1999-01-09,1999,1.77
Drowzee,604,Base Set,42392,Normal,Psychic,049/102,Common,1999-01-09,1999,0.46
Dugtrio,604,Base Set,42359,Normal,Fighting,019/102,Rare,1999-01-09,1999,6.52
Electabuzz,604,Base Set,42361,Normal,Lightning,020/102,Rare,1999-01-09,1999,7.27
Electrode,604,Base Set,42362,Normal,Lightning,021/102,Rare,1999-01-09,1999,6.72
Energy Removal,604,Base Set,42436,Normal,Trainer,092/102,Common,1999-01-09,1999,0.4
Energy Retrieval,604,Base Set,42427,Normal,Trainer,081/102,Uncommon,1999-01-09,1999,0.7
Farfetchd,604,Base Set,42368,Normal,Colorless,027/102,Uncommon,1999-01-09,1999,1.08
Fighting Energy,604,Base Set,42441,Normal,Basic Energy,097/102,Common,1999-01-09,1999,0.33
Fire Energy,604,Base Set,42442,Normal,Basic Energy,098/102,Common,1999-01-09,1999,0.29
Full Heal,604,Base Set,42428,Normal,Trainer,082/102,Uncommon,1999-01-09,1999,1.49
Gastly,604,Base Set,42394,Normal,Psychic,050/102,Common,1999-01-09,1999,0.56
Grass Energy,604,Base Set,42443,Normal,Basic Energy,099/102,Common,1999-01-09,1999,0.28
Growlithe,604,Base Set,42369,Normal,Fire,028/102,Uncommon,1999-01-09,1999,0.96
Gust of Wind,604,Base Set,42437,Normal,Trainer,093/102,Common,1999-01-09,1999,0.28
Gyarados,604,Base Set,42404,Holofoil,Water,006/102,Holo Rare,1999-01-09,1999,32.77
Haunter,604,Base Set,42370,Normal,Psychic,029/102,Uncommon,1999-01-09,1999,1.44
Hitmonchan,604,Base Set,42415,Holofoil,Fighting,007/102,Holo Rare,1999-01-09,1999,18.57
Imposter Professor Oak,604,Base Set,86271,Normal,Trainer,073/102,Rare,1999-01-09,1999,5.81
Item Finder,604,Base Set,42420,Normal,Trainer,074/102,Rare,1999-01-09,1999,8.63
Ivysaur,604,Base Set,42372,Normal,Grass,030/102,Uncommon,1999-01-09,1999,2.24
Jynx,604,Base Set,42373,Normal,Psychic,031/102,Uncommon,1999-01-09,1999,0.7
Kadabra,604,Base Set,42374,Normal,Psychic,032/102,Uncommon,1999-01-09,1999,1.36
Kakuna,604,Base Set,42375,Normal,Grass,033/102,Uncommon,1999-01-09,1999,1.01
Koffing,604,Base Set,42395,Normal,Grass,051/102,Common,1999-01-09,1999,0.42
Lass,604,Base Set,42421,Normal,Trainer,075/102,Rare,1999-01-09,1999,2.51
Lightning Energy,604,Base Set,42348,Normal,Basic Energy,100/102,Common,1999-01-09,1999,0.32
Machoke,604,Base Set,42376,Normal,Fighting,034/102,Uncommon,1999-01-09,1999,0.6
Machop,604,Base Set,42396,Normal,Fighting,052/102,Common,1999-01-09,1999,0.33
Magikarp,604,Base Set,42377,Normal,Water,035/102,Uncommon,1999-01-09,1999,1.99
Magmar,604,Base Set,42378,Normal,Fire,036/102,Uncommon,1999-01-09,1999,2.69
Magnemite,604,Base Set,42397,Normal,Lightning,053/102,Common,1999-01-09,1999,0.52
Magneton,604,Base Set,42433,Holofoil,Lightning,009/102,Holo Rare,1999-01-09,1999,20.46
Maintenance,604,Base Set,42429,Normal,Trainer,083/102,Uncommon,1999-01-09,1999,2.17
Metapod,604,Base Set,42398,Normal,Grass,054/102,Common,1999-01-09,1999,0.74
Mewtwo,604,Base Set,42347,Holofoil,Psychic,010/102,Holo Rare,1999-01-09,1999,38.21
Nidoking,604,Base Set,42351,Holofoil,Grass,011/102,Holo Rare,1999-01-09,1999,28.56
Nidoran M,604,Base Set,42399,Normal,Grass,055/102,Common,1999-01-09,1999,0.43
Nidorino,604,Base Set,42379,Normal,Grass,037/102,Uncommon,1999-01-09,1999,1.81
Ninetales,604,Base Set,42352,Holofoil,Fire,012/102,Holo Rare,1999-01-09,1999,23.24
Onix,604,Base Set,42400,Normal,Fighting,056/102,Common,1999-01-09,1999,0.65
Pidgeotto,604,Base Set,42363,Normal,Colorless,022/102,Rare,1999-01-09,1999,9.01
Pidgey,604,Base Set,42401,Normal,Colorless,057/102,Common,1999-01-09,1999,0.97
Pikachu,604,Base Set,42402,Normal,Lightning,058/102,Common,1999-01-09,1999,3.06
PlusPower,604,Base Set,42430,Normal,Trainer,084/102,Uncommon,1999-01-09,1999,0.58
Pokedex,604,Base Set,108645,Normal,Trainer,087/102,Uncommon,1999-01-09,1999,0.44
Pokemon Breeder,604,Base Set,42422,Normal,Trainer,076/102,Rare,1999-01-09,1999,6.9
Pokemon Center,604,Base Set,108646,Normal,Trainer,085/102,Uncommon,1999-01-09,1999,1.57
Pokemon Flute,604,Base Set,108647,Normal,Trainer,086/102,Uncommon,1999-01-09,1999,2.55
Pokemon Trader,604,Base Set,108648,Normal,Trainer,077/102,Rare,1999-01-09,1999,4.29
Poliwag,604,Base Set,42403,Normal,Water,059/102,Common,1999-01-09,1999,0.36
Poliwhirl,604,Base Set,42380,Normal,Water,038/102,Uncommon,1999-01-09,1999,1.39
Poliwrath,604,Base Set,42353,Holofoil,Water,013/102,Holo Rare,1999-01-09,1999,20.86
Ponyta,604,Base Set,42405,Normal,Fire,060/102,Common,1999-01-09,1999,0.41
Porygon,604,Base Set,42381,Normal,Colorless,039/102,Uncommon,1999-01-09,1999,1.98
Potion,604,Base Set,42438,Normal,Trainer,094/102,Common,1999-01-09,1999,0.21
Professor Oak,604,Base Set,42431,Normal,Trainer,088/102,Uncommon,1999-01-09,1999,1.36
Psychic Energy,604,Base Set,42349,Normal,Basic Energy,101/102,Common,1999-01-09,1999,0.36
Raichu,604,Base Set,42354,Holofoil,Lightning,014/102,Holo Rare,1999-01-09,1999,43.95
Raticate,604,Base Set,42383,Normal,Colorless,040/102,Uncommon,1999-01-09,1999,2.08
Rattata,604,Base Set,42406,Normal,Colorless,061/102,Common,1999-01-09,1999,0.42
Revive,604,Base Set,42432,Normal,Trainer,089/102,Uncommon,1999-01-09,1999,2.2
Sandshrew,604,Base Set,42407,Normal,Fighting,062/102,Common,1999-01-09,1999,0.66
Scoop Up,604,Base Set,42423,Normal,Trainer,078/102,Rare,1999-01-09,1999,6.88
Seel,604,Base Set,42384,Normal,Water,041/102,Uncommon,1999-01-09,1999,1.01
Squirtle,604,Base Set,42408,Normal,Water,063/102,Common,1999-01-09,1999,3.07
Starmie,604,Base Set,42409,Normal,Water,064/102,Common,1999-01-09,1999,0.42
Staryu,604,Base Set,42410,Normal,Water,065/102,Common,1999-01-09,1999,0.32
Super Energy Removal,604,Base Set,42424,Normal,Trainer,079/102,Rare,1999-01-09,1999,3.2
Super Potion,604,Base Set,42434,Normal,Trainer,090/102,Uncommon,1999-01-09,1999,0.31
Switch,604,Base Set,42439,Normal,Trainer,095/102,Common,1999-01-09,1999,0.29
Tangela,604,Base Set,42411,Normal,Grass,066/102,Common,1999-01-09,1999,0.52
Venusaur,604,Base Set,42355,Holofoil,Grass,015/102,Holo Rare,1999-01-09,1999,117.19
Voltorb,604,Base Set,42412,Normal,Lightning,067/102,Common,1999-01-09,1999,1.4
Vulpix,604,Base Set,42413,Normal,Fire,068/102,Common,1999-01-09,1999,0.45
Wartortle,604,Base Set,42385,Normal,Water,042/102,Uncommon,1999-01-09,1999,2.58
Water Energy,604,Base Set,42350,Normal,Basic Energy,102/102,Common,1999-01-09,1999,0.29
Weedle,604,Base Set,42414,Normal,Grass,069/102,Common,1999-01-09,1999,0.38
Zapdos,604,Base Set,42356,Holofoil,Lightning,016/102,Holo Rare,1999-01-09,1999,37.43
Abra,1663,Base Set (Shadowless),107040,1st Edition,Psychic,043/102,Common,1999-01-09,1999,27.2
Abra,1663,Base Set (Shadowless),107040,Unlimited,Psychic,043/102,Common,1999-01-09,1999,2.85
Alakazam,1663,Base Set (Shadowless),106996,1st Edition Holofoil,Psychic,001/102,Holo Rare,1999-01-09,1999,301.44
Alakazam,1663,Base Set (Shadowless),106996,Unlimited Holofoil,Psychic,001/102,Holo Rare,1999-01-09,1999,245.04
Arcanine,1663,Base Set (Shadowless),107018,1st Edition,Fire,023/102,Uncommon,1999-01-09,1999,93.54
